Resource,Frequency,Percent of Wins,Percentile Rank,Rank,Resource Type
Steam,266,0.15937687237866988,0.24129353233830847,97.0,card
Blue Candle,262,0.15698022768124625,0.24378109452736318,98.0,relic
Reboot,260,0.15578190533253444,0.24751243781094528,99.5,card
Tempest,260,0.15578190533253444,0.24751243781094528,99.5,card
Singing Bowl,258,0.15458358298382266,0.2512437810945274,101.0,relic
Multi-Cast,252,0.15098861593768723,0.25497512437810943,102.5,card
Sweeping Beam,252,0.15098861593768723,0.25497512437810943,102.5,card
Tiny Chest,250,0.14979029358897544,0.25870646766169153,104.0,relic
Ornamental Fan,249,0.14919113241461954,0.26119402985074625,105.0,relic
Inserter,246,0.14739364889155182,0.26492537313432835,106.5,relic
Rainbow,246,0.14739364889155182,0.26492537313432835,106.5,card
Snecko Eye,245,0.14679448771719592,0.26990049751243783,108.5,relic
Gambling Chip,245,0.14679448771719592,0.26990049751243783,108.5,relic
Bird Faced Urn,243,0.14559616536848413,0.27487562189054726,110.5,relic
Nuclear Battery,243,0.14559616536848413,0.27487562189054726,110.5,relic
Streamline,241,0.14439784301977232,0.27860696517412936,112.0,card
Force Field,239,0.1431995206710605,0.2810945273631841,113.0,card
Question Card,236,0.14140203714799282,0.2835820895522388,114.0,relic
Dodecahedron,235,0.14080287597363692,0.2873134328358209,115.5,relic
The Courier,235,0.14080287597363692,0.2873134328358209,115.5,relic
Ice Cream,234,0.140203714799281,0.291044776119403,117.0,relic
Astrolabe,232,0.1390053924505692,0.2935323383084577,118.0,relic
Molten Egg 2,226,0.1354104254044338,0.2960199004975124,119.0,relic
Amplify,223,0.13361294188136608,0.2997512437810945,120.5,card
FossilizedHelix,223,0.13361294188136608,0.2997512437810945,120.5,relic
Pocketwatch,222,0.1330137807070102,0.3034825870646766,122.0,relic
Machine Learning,220,0.1318154583582984,0.30597014925373134,123.0,card
Chaos,219,0.13121629718394248,0.30845771144278605,124.0,card
Barrage,218,0.13061713600958658,0.31094527363184077,125.0,card
Mango,216,0.12941881366087477,0.31343283582089554,126.0,relic
Torii,215,0.1288196524865189,0.31592039800995025,127.0,relic
Incense Burner,214,0.12822049131216298,0.31840796019900497,128.0,relic
Matryoshka,213,0.12762133013780708,0.3208955223880597,129.0,relic
Calipers,212,0.12702216896345117,0.32338308457711445,130.0,relic
Coffee Dripper,211,0.12642300778909527,0.32587064676616917,131.0,relic
Apotheosis,203,0.12162971839424805,0.3283582089552239,132.0,card
Cursed Key,202,0.12103055721989216,0.3308457711442786,133.0,relic
Dead Branch,198,0.11863391252246855,0.3333333333333333,134.0,relic
Prayer Wheel,196,0.11743559017375674,0.3358208955223881,135.0,relic
Darkstone Periapt,195,0.11683642899940083,0.3383084577114428,136.0,relic
Fusion,194,0.11623726782504494,0.3407960199004975,137.0,card
Fusion Hammer,192,0.11503894547633313,0.34328358208955223,138.0,relic
Thunder Strike,190,0.11384062312762133,0.34701492537313433,139.5,card
Storm,190,0.11384062312762133,0.34701492537313433,139.5,card
Thread and Needle,180,0.10784901138406232,0.35074626865671643,141.0,relic
Panacea,178,0.10665068903535051,0.35447761194029853,142.5,card
Old Coin,178,0.10665068903535051,0.35447761194029853,142.5,relic
Sozu,175,0.1048532055122828,0.36069651741293535,145.0,relic
Golden Idol,175,0.1048532055122828,0.36069651741293535,145.0,relic
Emotion Chip,175,0.1048532055122828,0.36069651741293535,145.0,relic
Membership Card,172,0.1030557219892151,0.36691542288557216,147.5,relic
StoneCalendar,172,0.1030557219892151,0.36691542288557216,147.5,relic
